"pwsid","gw_sw_code","primary_source_code","first_reported_date","years_operating","owner_type","primacy_type","is_grant_eligible_ind","is_wholesaler_ind","is_school_or_daycare_ind","source_water_protection_code","phone_number","lead_and_copper_rule_healthbased_5yr","radionuclides_and_revised_rad_rule_healthbased_5yr","groundwater_rule_healthbased_5yr","surface_water_treatment_rules_healthbased_5yr","total_coliform_rules_healthbased_5yr","inorganic_chemicals_healthbased_5yr","stage_1_disinfectants_and_byproducts_rule_healthbased_5yr","stage_2_disinfectants_and_byproducts_rule_healthbased_5yr","synthetic_organic_chemicals_healthbased_5yr","volatile_organic_chemicals_healthbased_5yr","health_viols_5yr","paperwork_viols_5yr","total_viols_5yr","lead_and_copper_rule_healthbased_10yr","radionuclides_and_revised_rad_rule_healthbased_10yr","groundwater_rule_healthbased_10yr","surface_water_treatment_rules_healthbased_10yr","total_coliform_rules_healthbased_10yr","inorganic_chemicals_healthbased_10yr","stage_1_disinfectants_and_byproducts_rule_healthbased_10yr","stage_2_disinfectants_and_byproducts_rule_healthbased_10yr","synthetic_organic_chemicals_healthbased_10yr","volatile_organic_chemicals_healthbased_10yr","health_viols_10yr","paperwork_viols_10yr","total_viols_10yr","violations_all_years","open_health_viol"
"CT0408011","Groundwater","GW","1988-06-02",38,"Private","State","Yes","No","No","Yes","(860) 815-2337",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,2,13,"Yes"
"CT0410744","Groundwater","GW","2000-01-11",26,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"No"
"CT0411061","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 873-6533",0,0,0,0,1,0,0,0,0,0,1,5,6,0,0,0,0,1,0,0,0,0,0,1,5,6,17,"No"
"CT0413011","Groundwater","GW","1985-01-04",41,"Local","State","Yes","No","No","Yes","(860) 398-5425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"No"
"CT0418011","Groundwater","GW","1988-04-22",38,"Private","State","Yes","No","Yes","Yes","(860) 873-2700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"No"
"CT0419211","Groundwater","GW","2012-02-22",14,"Local","State","Yes","No","No","Yes","(860) 615-0326",1,0,0,0,0,0,0,0,0,0,1,18,19,1,0,0,0,1,0,0,0,0,0,2,48,50,58,"Yes"
"CT0419241","Groundwater","GW","2019-08-15",7,"Private","State","Yes","No","No","No Information","No Information",0,0,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"No"
"CT0420011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,"No"
"CT0420021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 267-2591",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14,14,106,"No"
"CT0420031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 267-8498",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,6,7,32,"Yes"
"CT0420071","Groundwater","GW","1980-12-29",46,"Private","State","Yes","No","No","Yes","(860) 358-0788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,"No"
"CT0421001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 267-4401",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,14,14,34,"No"
"CT0421011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 267-9034",1,0,0,0,0,0,0,0,0,0,1,10,11,1,0,0,0,0,0,0,0,0,0,1,19,20,65,"Yes"
"CT0424011","Groundwater","GW","1992-01-27",34,"Local","State","Yes","No","No","Yes","(860) 267-8498",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,5,6,21,"Yes"
"CT0427011","Groundwater","GW","1992-01-27",34,"Private","State","Yes","No","No","Yes","(860) 539-2809",0,0,1,0,0,0,0,0,0,0,1,11,12,0,0,1,0,0,0,0,0,0,0,1,31,32,92,"No"
"CT0427021","Groundwater","GW","1987-10-19",39,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,"No"
"CT0428031","Groundwater","GW","1988-04-22",38,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,56,"No"
"CT0429011","Groundwater","GW","1992-01-27",34,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,"No"
"CT0429031","Groundwater","GW","1993-06-28",33,"Local","State","Yes","No","No","Yes","(860) 267-2536",0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,25,25,106,"No"
"CT0429121","Groundwater","GW","2006-02-28",20,"Local","State","Yes","No","No","Yes","(860) 267-2536",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,8,8,127,"No"
"CT0450011","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 691-4108",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,76,76,219,"No"
"CT0470021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 335-0864",1,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,6,7,23,"Yes"
"CT0470071","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 623-8467",1,0,0,0,0,0,0,0,0,0,1,2,3,1,2,0,0,0,0,0,0,0,0,3,9,12,47,"Yes"
"CT0473011","Surface Water","SW","1993-02-01",33,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,203,"No"
"CT0490021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 749-0779",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,21,54,"No"
"CT0490031","Groundwater","GW","1979-03-08",47,"State","State","Yes","No","No","Yes","(860) 692-7897",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,13,14,155,"No"
"CT0490041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 749-8319",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,16,"No"
"CT0500011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 391-1155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,"No"
"CT0500021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(845) 633-2680",1,0,0,0,0,0,0,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,0,1,23,24,97,"Yes"
"CT0501001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 807-6535",1,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,18,19,65,"Yes"
"CT0520011","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,"No"
"CT0529051","Surface Water","SWP","2011-08-17",15,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"CT0550011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"No"
"CT0550321","Groundwater","GW","1999-02-02",27,"Private","State","Yes","No","No","Yes","(860) 307-1122",0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,2,0,0,0,0,0,2,25,27,59,"No"
"CT0560011","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 653-3327",0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,11,11,58,"No"
"CT0570011","Surface Water","SW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,25,31,"No"
"CT0579143","Groundwater","GW","2000-11-01",26,"Private","State","Yes","No","Yes","Yes","(203) 625-5877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,36,"No"
"CT0580011","Surface Water","SW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 749-0779",0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,1,26,27,37,"No"
"CT0580021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"No"
"CT0580031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(212) 951-3812",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,8,9,82,"No"
"CT0580041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"No"
"CT0580051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 749-0779",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,13,"No"
"CT0580061","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 222-3997",0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,8,9,92,"No"
"CT0590011","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 446-4091",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"No"
"CT0590031","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 501-8305",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,9,25,"No"
"CT0590051","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 460-8972",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,13,13,25,"No"
"CT0590071","Groundwater","GW","1980-02-28",46,"Private","State","Yes","No","No","Yes","(860) 857-0369",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,42,"No"
"CT0597021","Groundwater","GW","1987-04-28",39,"Private","State","Yes","No","No","Yes","(401) 639-7349",1,0,0,0,0,0,0,0,0,0,1,7,8,1,0,0,0,0,0,0,0,0,0,1,16,17,152,"Yes"
"CT0600041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 488-9500",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,96,96,116,"No"
"CT0606011","Groundwater","GW","1986-12-05",40,"Private","State","Yes","No","No","Yes","(203) 488-9500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,78,"No"
"CT0608011","Surface Water","SW","1992-03-23",34,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,"No"
"CT0614021","Groundwater","GW","1987-08-22",39,"Private","State","Yes","No","No","Yes","(860) 398-5425",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,49,"No"
"CT0640011","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 278-7850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"No"
"CT0660341","Groundwater","GW","1998-08-05",28,"Private","State","Yes","No","No","Yes","(860) 567-3660",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,740,"No"
"CT0670011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,"No"
"CT0670021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 923-9543",1,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,1,0,0,0,0,0,2,16,18,92,"Yes"
"CT0670041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 622-9200",1,0,0,0,1,0,0,0,0,0,2,11,13,1,0,0,0,1,0,0,0,0,0,2,23,25,110,"Yes"
"CT0670051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 895-8126",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,15,16,61,"Yes"
"CT0670331","Groundwater","GW","1988-06-02",38,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,"No"
"CT0671021","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 423-3936",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,20,"No"
"CT0672021","Groundwater","GW","1996-01-30",30,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"No"
"CT0672031","Groundwater","GW","2003-10-24",23,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"CT0680011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,"No"
"CT0680021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 927-6124",0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,8,8,63,"No"
"CT0680031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 927-0047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,"No"
"CT0680082","Groundwater","GW","1979-07-12",47,"Private","State","Yes","No","No","Yes","(860) 927-3539",1,0,0,0,0,0,0,0,0,0,1,6,7,1,0,0,0,0,0,0,0,0,0,1,12,13,67,"Yes"
"CT0688011","Groundwater","GW","1988-06-02",38,"Private","State","Yes","No","No","Yes","(203) 770-2458",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,5,16,"No"
"CT0690011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,120,"No"
"CT0690051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(401) 272-0200",1,0,0,0,0,0,0,0,0,0,1,20,21,1,0,0,0,0,0,0,0,0,0,1,90,91,99,"Yes"
"CT0690061","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 377-4626",0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,1,13,14,25,"No"
"CT0690071","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 933-4834",1,0,0,0,2,0,0,0,0,0,3,17,20,1,0,0,0,2,0,0,0,0,0,3,29,32,52,"Yes"
"CT0690141","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 222-4679",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,40,42,85,"No"
"CT0699231","Groundwater","GW","2018-08-20",8,"Private","State","Yes","No","No","No Information","(860) 848-1921",2,0,0,0,3,0,0,0,0,0,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"No"
"CT0700011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,104,"No"
"CT0709133","Groundwater","GW","2002-04-27",24,"Private","State","Yes","No","No","No","(860) 349-6370",0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,56,56,58,"No"
"CT0710011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-6374",1,0,0,0,0,0,0,0,0,0,1,23,24,1,0,0,0,0,0,0,0,0,0,1,28,29,112,"Yes"
"CT0710021","Groundwater","GW","1979-07-12",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,"No"
"CT0711001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 428-3240",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,3,4,141,"Yes"
"CT0711071","Groundwater","GW","1993-10-04",33,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,30,"No"
"CT0720011","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 464-0232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"CT0720041","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 464-0232",1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,5,6,17,"No"
"CT0720101","Groundwater","GW","1979-07-12",47,"Private","State","Yes","No","No","Yes","(860) 222-3997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"No"
"CT0720313","Groundwater","GW","1995-07-06",31,"Local","State","Yes","No","No","Yes","(860) 464-0232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,"No"
"CT0727031","Groundwater","GW","1987-08-22",39,"Local","State","Yes","No","No","Yes","(860) 464-0232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"CT0727051","Surface Water","SWP","1998-11-04",28,"Local","State","Yes","No","No","Yes","(860) 464-3221",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,10,"No"
"CT0727091","Surface Water","SWP","2010-05-18",16,"Local","State","Yes","No","No","Yes","(860) 464-3221",0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,0,0,0,0,0,2,0,0,2,1,3,4,"No"
"CT0730021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 749-0779",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,9,"No"
"CT0730031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(702) 541-6379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,"No"
"CT0731011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(248) 234-4953",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,9,"No"
"CT0731021","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 705-2388",1,0,0,0,0,0,0,0,0,0,1,10,11,1,0,0,0,0,0,0,0,0,0,1,25,26,101,"Yes"
"CT0740011","Surface Water","SWP","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,"No"
"CT0740301","Groundwater","GW","1981-01-09",45,"Private","State","Yes","No","No","Yes","(860) 567-9558",0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,107,107,146,"No"
"CT0743011","Groundwater","GW","1985-01-04",41,"Private","State","Yes","No","No","Yes","(860) 567-4438",0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,23,23,48,"No"
"CT0745093","Groundwater","GW","1997-04-26",29,"Private","State","Yes","No","No","Yes","(860) 993-4729",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,13,"No"
"CT0760021","Groundwater","GW","1980-02-28",46,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"No"
"CT0765101","Groundwater","GW","1991-12-30",35,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,33,"No"
"CT0770021","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 647-3131",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,15,"No"
"CT0770041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"No"
"CT0780021","Surface Water","SWP","1979-03-08",47,"State","State","Yes","No","Yes","Yes","(860) 486-3208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,"No"
"CT0780041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 610-1777",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,19,"Yes"
"CT0780051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 941-6005",1,0,0,0,0,0,0,0,0,0,1,5,6,2,0,0,0,0,0,0,0,0,0,2,20,22,40,"Yes"
"CT0780061","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 955-0026",1,0,0,0,3,0,0,0,0,0,4,3,7,1,0,0,0,4,0,0,0,0,0,5,4,9,19,"Yes"
"CT0780081","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,"No"
"CT0780091","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(212) 725-7908",1,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,1,13,14,23,"Yes"
"CT0780101","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 941-6005",1,0,0,0,0,0,0,0,0,0,1,23,24,1,0,0,0,0,0,0,0,0,0,1,51,52,62,"Yes"
"CT0780121","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"No"
"CT0780131","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 856-3346",1,0,0,0,0,0,0,0,0,0,1,21,22,1,0,0,0,0,0,0,0,0,0,1,59,60,111,"Yes"
"CT0780161","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 941-6005",1,0,0,0,0,0,0,0,0,0,1,6,7,2,0,0,0,1,0,0,0,0,0,3,17,20,35,"Yes"
"CT0780171","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(845) 825-8118",4,0,0,0,0,0,0,0,0,0,4,4,8,4,0,1,0,0,0,0,0,0,0,5,19,24,43,"Yes"
"CT0780181","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 487-9576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,32,"No"
"CT0780211","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,78,"No"
"CT0780251","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 627-6892",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,3,4,24,"No"
"CT0787011","Groundwater","GW","1987-03-24",39,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"No"
"CT0787091","Groundwater","GWP","2018-07-02",8,"Private","State","Yes","No","No","No Information","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"No"
"CT0787111","Surface Water","SWP","2018-07-02",8,"Private","State","Yes","No","No","No Information","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"No"
"CT0787121","Surface Water","SWP","2018-07-02",8,"Private","State","Yes","No","No","No Information","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"No"
"CT0790011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,2,1,3,17,"Yes"
"CT0790031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"No"
"CT0790041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 277-5156",0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,25,"No"
"CT0791001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 295-9531",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,20,21,50,"Yes"
